port_name,lat_long,lat,lon,port_uc
ABU DHABI,"24.517053236739,54.383160115579",24.517053236739,54.383160115579,ABU DHABI
ADANG BAY,"-1.710921172508,116.331846943591",-1.710921172508,116.331846943591,ADANG BAY
ADAULT,"-8.128227485431,131.110425783139",-8.128227485431,131.110425783139,ADAULT
ADEN,"12.803736736270,44.994390707990",12.80373673627,44.99439070799,ADEN
AEKGODANG,"0.800000000000,99.566666666667",0.8,99.566666666667,AEKGODANG
AGATS,"-5.522505973729,138.138722093421",-5.522505973729,138.138722093421,AGATS
AIMERE,"-8.841887492775,120.855497901707",-8.841887492775,120.855497901707,AIMERE
AIR BANGIS,"0.200278915108,99.377107616127",0.200278915108,99.377107616127,AIR BANGIS
AIR HITAM,"-2.818860141791,110.627178881657",-2.818860141791,110.627178881657,AIR HITAM
AIR HITAM LAUT,"-1.317021273888,104.444024935761",-1.317021273888,104.444024935761,AIR HITAM LAUT
AIR SUGIHAN TERSUS,"-2.687264694206,105.237785788830",-2.687264694206,105.23778578883,AIR SUGIHAN TERSUS
AIR SUGIHAN/TERSUS PT OKI PULP & PAPER,"-2.742585540427,105.796063825182",-2.742585540427,105.796063825182,AIR SUGIHAN/TERSUS PT OKI PULP & PAPER
ALASAN,"-1.722654263516,123.308091824686",-1.722654263516,123.308091824686,ALASAN
ALGECIRAS,"36.133333333333,-5.433333333333",36.133333333333,-5.433333333333,ALGECIRAS
ALOR ISLAND,"-8.248585467219,124.398467114220",-8.248585467219,124.39846711422,ALOR ISLAND
AMAHAI,"-3.338371250178,128.920811670678",-3.338371250178,128.920811670678,AMAHAI
AMAMAPARE/TIMIKA,"-4.821751022387,136.843112593992",-4.821751022387,136.843112593992,AMAMAPARE/TIMIKA
AMBALAU,"-3.824177773211,127.178933266800",-3.824177773211,127.1789332668,AMBALAU
AMBON,"-3.683333333333,128.166666666667",-3.683333333333,128.166666666667,AMBON
AMPANA,"-0.866666666667,121.583333333333",-0.866666666667,121.583333333333,AMPANA
AMPANA/TERSUS PT. PERTAMINA,"-0.867607511913,121.583743287203",-0.867607511913,121.583743287203,AMPANA/TERSUS PT. PERTAMINA
AMPENAN,"-8.566666666667,116.066666666667",-8.566666666667,116.066666666667,AMPENAN
AMURANG,"1.166666666667,-124.566666666667",1.166666666667,-124.566666666667,AMURANG
AN PING,"22.992878416248,120.154529626814",22.992878416248,120.154529626814,AN PING
ANGGREK,"0.850000000000,122.783333333333",0.85,122.783333333333,ANGGREK
ANOA NATUNA PT.,"5.233333333333,105.600000000000",5.233333333333,105.6,ANOA NATUNA PT.
ANPING,"22.992878416248,120.154529626814",22.992878416248,120.154529626814,ANPING
ANYER KIDUL,"-6.066666666667,105.883333333333",-6.066666666667,105.883333333333,ANYER KIDUL
ANYER LOR,"-6.050000000000,105.916666666667",-6.05,105.916666666667,ANYER LOR
APARBAY/ TELUK APAR,"-2.090280415672,116.456455962325",-2.090280415672,116.456455962325,APARBAY/ TELUK APAR
APPATANA,"-6.489461382498,120.480733639537",-6.489461382498,120.480733639537,APPATANA
ARANDAI,"-2.190417700297,132.969171471909",-2.190417700297,132.969171471909,ARANDAI
ARAR,"-1.023793053502,131.242703169436",-1.023793053502,131.242703169436,ARAR
AREFI,"-0.787430833895,130.704284956023",-0.787430833895,130.704284956023,AREFI
"ARJUNA, JAVA","-5.883300000000,107.716600000000",-5.8833,107.7166,"ARJUNA, JAVA"
ARWALA,"-7.657344155262,126.802656613727",-7.657344155262,126.802656613727,ARWALA
ARZEW,"35.850000000000,-0.300000000000",35.85,-0.3,ARZEW
ASAM ASAM,"-3.900000000000,115.100000000000",-3.9,115.1,ASAM ASAM
ASIKE,"-6.650000000000,140.416666666667",-6.65,140.416666666667,ASIKE
ATAMBUA,"-8.996284825479,124.862212431585",-8.996284825479,124.862212431585,ATAMBUA
ATAPUPU,"-8.995429547274,124.861723207829",-8.995429547274,124.861723207829,ATAPUPU
ATSY,"-5.732880543944,138.384582236216",-5.732880543944,138.384582236216,ATSY
AWARANGE/BARRU,"-4.216543876200,119.615850245591",-4.2165438762,119.615850245591,AWARANGE/BARRU
BAA,"-10.719976447736,123.042029354876",-10.719976447736,123.042029354876,BAA
BABANG,"-0.626237868824,127.603881843186",-0.626237868824,127.603881843186,BABANG
BABO,"-2.533458796394,133.452931528362",-2.533458796394,133.452931528362,BABO
"BACOLOD, NEGROS","10.676904654771,122.940496084544",10.676904654771,122.940496084544,"BACOLOD, NEGROS"
BADAS,"-8.462472974564,117.371610536698",-8.462472974564,117.371610536698,BADAS
BADAS/TERSUS PT. PERTAMINA,"-8.466689762588,117.375471279233",-8.466689762588,117.375471279233,BADAS/TERSUS PT. PERTAMINA
BADE,"-7.167868954032,139.593645564495",-7.167868954032,139.593645564495,BADE
BAGAN ASAHAN,"3.025435214893,99.860397564025",3.025435214893,99.860397564025,BAGAN ASAHAN
BAGAN LUAR (BUTTERWORTH),"5.409979040777,100.369758379983",5.409979040777,100.369758379983,BAGAN LUAR (BUTTERWORTH)
BAGAN SIAPI-API,"2.144818332230,100.786119496242",2.14481833223,100.786119496242,BAGAN SIAPI-API
BAGENDANG,"-2.733333333333,112.550000000000",-2.733333333333,112.55,BAGENDANG
BAHODOPI,"-2.787080805598,122.125520252053",-2.787080805598,122.125520252053,BAHODOPI
BAHOMBELU/TERSUS TAMACO,"-2.173633667661,121.677677666757",-2.173633667661,121.677677666757,BAHOMBELU/TERSUS TAMACO
BAJOE,"-4.544537830625,120.407011291556",-4.544537830625,120.407011291556,BAJOE
BAKAUHENI,"-5.868997186982,105.756016387645",-5.868997186982,105.756016387645,BAKAUHENI
BALAURING,"-8.235380672811,123.706612338140",-8.235380672811,123.70661233814,BALAURING
BALIKPAPAN,"-1.250000000000,116.816666666667",-1.25,116.816666666667,BALIKPAPAN
BALIKPAPAN/STS PT. PERTAMINA,"-1.255822548447,116.811978734552",-1.255822548447,116.811978734552,BALIKPAPAN/STS PT. PERTAMINA
BALIKPAPAN/TUKS PERTAMINA,"-1.255822548447,116.811978734552",-1.255822548447,116.811978734552,BALIKPAPAN/TUKS PERTAMINA
BALIKPAPAN/TUKS PT. PERTAMINA,"-1.255822548447,116.811978734552",-1.255822548447,116.811978734552,BALIKPAPAN/TUKS PT. PERTAMINA
BALONGAN,"-6.359513927987,108.390466844929",-6.359513927987,108.390466844929,BALONGAN
BALONGAN TERMINAL,"-6.359610030402,108.390498870712",-6.359610030402,108.390498870712,BALONGAN TERMINAL
BANABUNGI,"-5.504017265209,122.846395191429",-5.504017265209,122.846395191429,BANABUNGI
BANDA ACEH,"5.565974064356,95.293736636882",5.565974064356,95.293736636882,BANDA ACEH
BANDANAIRA,"-4.533333333333,129.900000000000",-4.533333333333,129.9,BANDANAIRA
BANDUL,"1.257171401203,102.466658026661",1.257171401203,102.466658026661,BANDUL
BANEMO,"0.323426071825,128.554979376636",0.323426071825,128.554979376636,BANEMO
BANG SAPHAN,"11.183333333333,99.600000000000",11.183333333333,99.6,BANG SAPHAN
BANGGAI,"-0.945629085709,122.792163597129",-0.945629085709,122.792163597129,BANGGAI
BANGKOK,"13.750000000000,100.500000000000",13.75,100.5,BANGKOK
BANGPAKONG,"13.503282132648,100.977143481309",13.503282132648,100.977143481309,BANGPAKONG
BANJARAN,"-7.200000000000,108.783333333333",-7.2,108.783333333333,BANJARAN
BANJARMASIN,"-3.333333333333,114.583333333333",-3.333333333333,114.583333333333,BANJARMASIN
BANJARMASIN/TUKS PT. PERTAMINA,"-3.311310000000,114.564410000000",-3.31131,114.56441,BANJARMASIN/TUKS PT. PERTAMINA
BANJARNEGARA,"-7.383333333333,109.683333333333",-7.383333333333,109.683333333333,BANJARNEGARA
BANTAENG,"-5.562187969136,119.917743929983",-5.562187969136,119.917743929983,BANTAENG
BANTEN,"-6.016666666667,105.966666666667",-6.016666666667,105.966666666667,BANTEN
BANYUWANGI,"-8.200000000000,114.350000000000",-8.2,114.35,BANYUWANGI
BANYUWANGI /TANJUNG WANGI,"-8.128303563679,114.399269434108",-8.128303563679,114.399269434108,BANYUWANGI /TANJUNG WANGI
BAOSHAN,"31.412631513237,121.509575163199",31.412631513237,121.509575163199,BAOSHAN
BAPENU,"-1.967655376327,124.693971119207",-1.967655376327,124.693971119207,BAPENU
BARANUSA,"-8.361869278026,124.096313171447",-8.361869278026,124.096313171447,BARANUSA
BARAPASI,"-2.241794656471,136.993858240328",-2.241794656471,136.993858240328,BARAPASI
"BASAMUK, PAPUA NEW GUINEA","-5.543600000000,146.143900000000",-5.5436,146.1439,"BASAMUK, PAPUA NEW GUINEA"
BASRAH OIL TERMINAL,"30.060579546268,47.928472000468",30.060579546268,47.928472000468,BASRAH OIL TERMINAL
BASTIONG,"0.766291324175,127.377379788622",0.766291324175,127.377379788622,BASTIONG
BASUO PT,"19.000000000000,108.616700000000",19.0,108.6167,BASUO PT
"BATAAN, MARIVELES","14.431496982137,120.485828318326",14.431496982137,120.485828318326,"BATAAN, MARIVELES"
